lotsize,bedrooms,bathrms,stories,driveway,gardenarea,fullbase,gashw,airco,garagepl,prefarea,price
4400,3,1,2,yes,2853,no,no,no,0,no,35500
2400,3,1,2,yes,9337,no,no,no,0,no,30000
4120,2,1,2,yes,3553,no,no,no,0,no,48000
4750,2,1,1,yes,3200,no,no,no,0,no,48000
4280,2,1,1,yes,5763,no,no,yes,2,no,52000
4820,3,1,2,yes,4491,no,no,no,0,no,54000
5500,4,1,2,yes,1008,yes,no,no,0,no,56000
5500,3,1,2,yes,8085,no,no,yes,0,no,60000
5040,3,1,2,yes,9351,yes,no,yes,0,no,60000
6000,2,1,1,yes,5685,yes,no,yes,1,no,67000
2500,2,1,1,no,6556,no,no,yes,0,no,47000
4095,3,1,2,no,6367,yes,no,yes,0,no,70000
4095,2,1,1,yes,5684,no,no,no,2,no,45000
3150,3,1,2,yes,4187,yes,no,no,0,no,51000
1836,2,1,1,no,4907,yes,no,no,0,no,32500
2475,3,1,2,yes,4491,no,no,no,0,no,34000
3210,3,1,2,yes,7585,yes,no,no,0,no,35000
3180,3,1,1,no,9046,no,no,no,0,no,36000
1650,3,1,2,no,5454,yes,no,no,0,no,45000
3180,4,1,2,yes,4331,yes,no,yes,0,no,47000
3180,2,2,1,yes,5135,yes,no,no,2,no,55000
6360,2,1,1,yes,2473,yes,no,yes,1,no,63900
4240,3,1,2,yes,9539,no,no,yes,0,no,50000
3240,2,1,1,no,3046,no,no,no,1,no,35000
3650,3,1,2,yes,6977,no,no,no,0,no,50000
3240,3,1,2,yes,7443,no,no,no,2,no,43000
3780,2,1,2,yes,8327,yes,no,no,0,no,55500
6480,3,1,2,no,9467,no,no,yes,1,no,57000
5850,2,1,1,yes,8291,yes,no,no,2,no,60000
3150,3,2,1,yes,5527,yes,no,yes,0,no,78000
3000,2,1,1,yes,9856,no,no,no,1,no,35000
3090,2,1,1,yes,9099,yes,no,no,0,no,44000
6060,3,1,1,yes,5951,yes,no,no,0,no,47000
5900,4,2,2,no,3151,yes,no,no,1,no,58000
7420,4,1,2,yes,5497,yes,no,yes,2,no,163000
8500,3,2,4,yes,7670,no,no,yes,2,no,128000
8050,3,1,1,yes,7687,yes,no,yes,1,no,123500
6800,2,1,1,yes,2776,no,no,no,0,no,39000
8250,3,1,1,yes,4031,no,no,no,2,no,53900
8250,3,1,1,yes,2496,yes,no,no,3,no,59900
3500,2,1,1,yes,6065,no,no,no,0,no,35000
2835,2,1,1,yes,5618,no,no,no,0,no,43000
4500,3,2,2,no,4286,yes,no,yes,0,no,57000
3300,3,3,2,yes,3117,yes,no,no,0,no,79000
4320,3,1,2,yes,3861,yes,yes,no,2,no,125000
3500,4,2,2,yes,6201,no,yes,no,2,no,132000
4992,3,2,2,yes,3095,no,no,no,2,no,58000
4600,2,1,1,yes,3625,no,no,no,0,no,43000
3720,2,1,1,no,2111,no,no,yes,0,no,48000
3680,3,2,2,yes,6991,no,no,no,0,no,58500
3000,3,2,2,yes,2295,yes,no,no,0,no,73000
3750,2,1,1,yes,6295,yes,no,no,0,no,63500
5076,3,1,1,no,6712,no,no,no,0,no,43000
4500,2,1,1,no,1137,no,no,no,0,no,46500
5000,3,1,2,yes,8677,no,no,yes,0,no,92000
4260,4,1,2,yes,5403,yes,no,yes,0,no,75000
6540,4,2,2,no,3096,no,no,yes,0,no,75000
3700,4,1,2,yes,5053,no,no,yes,0,no,85000
3760,3,1,2,yes,8317,no,yes,no,2,no,93000
4000,3,2,2,yes,9050,yes,no,yes,1,no,94500
4300,3,2,2,yes,2908,yes,no,no,1,no,106500
6840,5,1,2,yes,8908,yes,no,yes,1,no,116000
4400,2,1,1,yes,3133,no,no,no,1,no,61500
10500,4,2,2,yes,4790,no,no,no,1,no,80000
4400,2,1,1,yes,5849,no,no,no,0,no,37000
4840,3,1,2,yes,5167,no,no,no,1,no,59500
4120,2,1,1,yes,6018,yes,no,no,1,no,70000
4260,4,2,2,yes,2639,no,yes,no,0,no,95000
5960,3,3,2,yes,5196,yes,no,no,1,no,117000
8800,3,2,2,yes,9932,no,no,yes,2,no,122500
4560,3,2,2,yes,3850,yes,no,yes,1,no,123500
4600,3,2,2,yes,2243,no,no,yes,2,no,127000
4840,2,1,2,yes,7638,no,no,no,0,no,35000
3850,3,1,2,yes,8613,no,no,no,0,no,44500
4900,3,1,2,no,3570,no,no,no,0,no,49900
3850,3,1,1,yes,5621,no,no,no,2,no,50500
3760,3,1,1,yes,2643,no,no,no,2,no,65000
6000,4,2,4,yes,6267,no,no,no,1,no,90000
4370,3,1,2,yes,4147,no,no,no,0,no,46000
7700,2,1,1,yes,4755,no,no,no,0,no,35000
2990,2,1,1,no,6362,no,no,no,1,no,26500
3750,3,1,2,yes,7706,no,no,no,0,no,43000
3000,3,1,2,yes,9779,no,no,no,0,no,56000
2650,3,1,2,yes,9531,yes,no,no,1,no,40000
4500,4,2,2,yes,5314,yes,no,no,2,no,51000
4500,2,1,1,no,9721,no,no,no,0,no,51000
4500,3,1,2,no,5662,yes,no,yes,0,no,57250
4500,2,1,2,yes,1553,no,yes,no,1,no,44000
2175,3,1,2,no,7416,yes,no,yes,0,no,61000
4500,3,2,3,yes,8221,no,yes,no,1,no,62000
4800,5,2,3,no,8734,yes,yes,no,0,no,80000
4600,4,1,2,yes,6752,no,no,no,0,no,50000
3450,3,1,2,yes,7118,no,no,no,1,no,59900
3000,3,1,2,no,6877,no,no,no,0,no,35500
3600,2,2,2,yes,4723,yes,no,no,1,no,37000
3600,3,1,2,no,7769,no,no,no,1,no,42000
3750,3,1,1,yes,8471,no,no,no,0,no,48000
2610,4,3,2,no,1857,no,no,no,0,no,60000
2953,3,1,2,yes,4176,yes,no,yes,0,no,60000
2747,4,2,2,no,6035,no,no,no,0,no,60000
1905,5,1,2,no,7135,yes,no,no,0,no,62000
3968,3,1,2,no,5488,no,no,no,0,no,63000
3162,3,1,2,yes,6664,no,no,yes,1,no,63900
6000,4,1,2,yes,7160,yes,no,no,2,no,130000
2910,3,1,1,no,2492,no,no,no,0,no,25000
2135,3,2,2,no,9412,no,no,no,0,no,50000
3120,3,1,2,no,3417,yes,yes,no,0,no,52900
4075,3,1,1,yes,4759,yes,no,no,2,no,62000
3410,3,1,2,no,6822,no,no,yes,0,no,73500
2800,3,1,1,yes,3239,no,no,no,0,no,38000
2684,2,1,1,yes,1367,no,no,yes,1,no,46000
3100,3,1,2,no,7840,yes,no,no,0,no,48000
3630,2,1,1,yes,9919,yes,no,no,0,no,52500
1950,3,1,1,no,8647,no,yes,no,0,no,32000
2430,3,1,1,no,3253,no,no,no,0,no,38000
4320,3,1,1,no,1411,no,no,no,1,no,46000
3036,3,1,2,yes,9266,yes,no,no,0,no,50000
3630,3,2,2,yes,1672,no,yes,no,2,no,57500
5400,4,1,2,yes,6322,no,no,no,0,no,70000
3420,4,2,2,yes,7575,yes,no,yes,2,no,69900
3180,3,2,2,yes,1533,no,no,no,2,no,74500
3660,4,1,2,no,2429,no,no,no,0,no,42000
4410,2,1,1,no,3293,no,no,no,1,no,60000
3990,3,1,2,yes,7499,no,no,no,0,no,50000
4340,3,1,1,yes,9497,no,no,no,0,no,58000
3510,3,1,2,yes,7546,no,no,no,0,no,63900
3420,5,1,2,no,2626,no,no,no,0,no,28000
3420,2,1,2,yes,9801,no,yes,no,1,no,54000
5495,3,1,1,yes,9609,yes,no,no,0,no,44700
3480,4,1,2,no,3604,no,no,no,1,no,47000
7424,3,1,1,no,2898,no,no,no,0,no,50000
3460,4,1,2,yes,4282,no,no,yes,0,no,57250
3630,3,1,2,yes,1296,no,no,no,2,no,67000
3630,2,1,1,yes,3593,no,no,yes,0,no,52500
3480,3,1,2,no,5081,no,no,no,1,no,42000
3460,3,2,1,yes,1430,yes,no,yes,1,no,57500
3180,2,1,1,yes,9994,no,no,no,0,no,33000
3635,2,1,1,no,3624,no,no,no,0,no,34400
3960,3,1,1,yes,4676,no,no,no,0,no,40000
4350,3,1,2,no,1114,no,yes,no,1,no,40500
3930,2,1,1,no,8421,no,no,no,0,no,46500
3570,3,1,2,yes,1648,yes,no,no,0,no,52000
3600,3,1,1,yes,6827,no,no,no,1,no,53000
2520,5,2,1,no,6076,yes,no,yes,1,no,53900
3480,3,1,1,no,8817,no,no,yes,0,no,50000
3180,4,2,2,yes,7679,no,no,no,0,no,55500
3290,2,1,1,yes,8901,no,yes,no,1,no,56000
4000,4,2,2,no,9781,no,no,no,0,no,60000
2325,3,1,2,no,5445,no,no,no,0,no,60000
4350,2,1,1,yes,5624,yes,no,no,0,no,69500
3540,2,1,1,no,9750,yes,no,no,0,no,72000
3960,3,1,1,yes,1345,yes,no,no,2,no,92500
2640,2,1,1,no,1966,no,no,no,1,no,40500
2700,2,1,1,no,2509,no,no,no,0,no,42000
2700,3,1,1,no,5881,no,no,no,0,no,47900
3180,3,1,2,no,4896,yes,no,no,0,no,52000
3500,4,1,2,yes,9469,no,no,no,2,no,62000
3630,2,1,1,yes,2950,no,no,no,0,no,41000
6000,4,3,2,yes,7173,yes,yes,no,2,no,138300
3150,3,1,2,no,4854,no,no,no,0,no,42000
3792,4,1,2,yes,7309,no,no,no,0,no,47000
3510,3,1,3,yes,1387,no,no,no,0,no,64500
3120,3,1,2,no,1739,no,no,no,0,no,46000
3000,4,1,3,yes,6890,yes,no,yes,2,no,58000
4200,3,1,2,yes,4442,no,no,no,1,no,70100
2817,4,2,2,no,2062,yes,no,no,1,no,78500
3240,4,1,3,yes,6617,no,no,no,1,no,87250
2800,3,2,2,no,7162,yes,no,yes,1,no,70800
3816,2,1,1,yes,3502,yes,no,yes,2,no,56000
3185,2,1,1,yes,2453,yes,no,no,2,no,48000
6321,3,1,2,yes,5118,yes,no,yes,1,no,68000
3650,3,2,2,yes,3644,no,no,no,2,no,79000
4700,4,1,2,yes,2243,yes,no,yes,1,no,80000
6615,4,2,2,yes,9630,no,yes,no,1,no,87000
3850,3,1,2,yes,1832,no,no,no,0,no,25000
3970,1,1,1,no,3402,no,no,no,0,no,32500
3000,2,1,2,yes,7692,no,no,no,0,no,36000
4352,4,1,2,no,7940,no,no,no,1,no,42500
3630,4,1,2,yes,9861,no,no,no,3,no,43000
3600,6,1,2,yes,4300,no,no,no,1,no,50000
3000,2,1,1,yes,3903,yes,no,no,2,no,26000
3000,4,1,2,yes,1975,no,no,no,0,no,30000
2787,4,2,2,yes,3514,no,no,no,0,no,34000
3000,2,1,2,yes,5263,no,no,yes,0,no,52000
4770,3,1,1,yes,3392,yes,no,no,0,no,70000
3649,2,1,1,yes,6628,no,no,no,0,no,27000
3970,3,1,2,yes,8495,yes,no,no,0,no,32500
2910,2,1,1,no,3345,no,no,no,0,no,37200
3480,2,1,1,yes,2679,no,no,no,1,no,38000
6615,3,1,2,yes,7262,no,no,no,0,no,42000
3500,2,1,1,yes,4085,no,no,no,0,no,44500
3450,3,1,2,yes,3975,yes,no,no,0,no,45000
3450,3,1,1,yes,4193,yes,no,no,2,no,48500
3520,2,2,1,yes,2679,yes,no,no,0,no,52000
6930,4,1,2,no,7785,no,no,no,1,no,53900
4600,3,2,2,yes,1068,no,no,yes,1,no,60000
4360,4,1,2,yes,8852,no,no,no,0,no,61000
3450,3,1,2,yes,3861,yes,no,no,1,no,64500
4410,4,3,2,yes,1206,yes,no,no,2,no,71000
4600,2,2,1,yes,3877,no,no,yes,2,no,75500
3640,2,1,1,yes,6858,no,no,no,0,no,33500
6000,2,1,1,yes,9891,no,no,no,0,no,41000
5400,4,1,2,yes,8583,no,no,no,0,no,41000
3640,4,1,2,yes,6340,yes,no,no,0,no,46200
3640,2,1,1,yes,4911,no,no,no,0,no,48500
4040,2,1,1,yes,2787,no,no,no,0,no,48900
3640,2,1,1,yes,6035,no,no,no,1,no,50000
3640,2,1,1,yes,4557,no,no,no,0,no,51000
5640,2,1,1,no,2379,no,no,no,0,no,52500
3600,2,1,1,yes,3157,no,no,no,0,no,52500
3600,2,1,1,yes,8756,no,no,no,0,no,54000
4632,4,1,2,yes,9106,no,no,yes,0,no,59000
3640,3,2,2,yes,5144,yes,no,no,0,no,60000
4900,2,1,2,yes,8601,yes,no,no,0,no,63000
4510,4,1,2,yes,8865,no,no,yes,2,no,64000
4100,2,2,1,yes,1889,yes,no,no,0,no,64900
3640,3,1,2,yes,1123,no,no,yes,0,no,65000
5680,3,1,2,yes,7346,no,no,yes,1,no,66000
6300,3,1,1,yes,3392,no,no,yes,2,no,70000
4000,3,1,2,yes,9287,no,no,no,1,no,65500
3960,3,1,2,yes,5479,no,no,no,0,no,57000
5960,3,1,2,yes,8812,yes,no,no,0,no,52000
5830,2,1,1,yes,5599,no,no,no,2,no,54000
4500,4,2,1,no,2067,yes,no,yes,2,no,74500
4100,3,2,3,yes,2912,no,no,yes,2,no,90000
6750,2,1,1,yes,4027,no,no,no,0,no,45000
9000,3,1,2,yes,5733,no,no,no,2,no,45000
2550,3,1,2,yes,2587,yes,no,no,0,no,65000
7152,3,1,2,yes,8759,no,no,yes,0,no,55000
6450,4,1,2,yes,2144,no,no,no,0,no,62000
3360,2,1,1,yes,4424,no,no,no,1,no,30000
3264,2,1,1,yes,2834,no,no,no,0,no,34000
4000,3,1,1,yes,2672,no,no,no,0,no,38000
4000,3,1,2,yes,4213,no,no,no,1,no,39000
3069,2,1,1,yes,4029,no,no,no,1,no,45000
4040,2,1,1,yes,8558,no,no,no,0,no,47000
4040,2,1,1,yes,5450,no,no,no,1,no,47500
3185,2,1,1,yes,7643,no,no,no,2,no,49000
5900,2,1,1,yes,2955,no,no,no,1,no,50000
3120,3,1,2,yes,4746,no,no,no,1,no,50000
5450,2,1,1,yes,2758,no,no,no,0,no,52900
4040,2,1,1,yes,6649,no,no,no,0,no,53000
4080,2,1,1,yes,7281,no,no,no,0,no,55000
8080,3,1,1,yes,7014,no,no,yes,2,no,56000
4040,2,1,2,yes,6687,no,no,no,1,no,58500
4080,3,1,2,yes,5060,no,no,no,2,no,59500
5800,3,1,1,yes,5225,no,yes,no,2,no,60000
5885,2,1,1,yes,1855,no,no,yes,1,no,64000
9667,4,2,2,yes,6140,yes,no,no,1,no,67000
3420,4,2,2,yes,3177,no,no,no,0,no,68100
5800,2,1,1,yes,7347,yes,no,yes,0,no,70000
7600,4,1,2,yes,8643,no,no,yes,2,no,72000
5400,3,1,1,yes,5892,no,no,no,3,no,57500
4995,4,2,1,yes,9653,yes,no,no,0,no,69900
3000,3,1,2,yes,3316,yes,no,yes,0,no,70000
5500,3,2,1,yes,7057,yes,no,no,0,no,75000
6450,3,2,1,yes,6599,yes,yes,no,0,no,76900
6210,4,1,4,yes,3982,no,no,yes,0,no,78000
5000,3,1,4,yes,8245,no,no,no,0,no,80000
5000,3,1,3,yes,9051,no,no,yes,0,no,82000
5828,4,1,4,yes,1787,no,no,no,0,no,83000
5200,3,1,3,yes,6920,no,no,yes,0,no,83000
5500,3,1,3,yes,6863,no,no,yes,1,no,83900
6350,3,2,3,yes,3156,no,no,yes,0,no,88500
8250,3,2,3,yes,8518,no,no,yes,0,no,93000
6000,3,1,1,yes,3222,no,no,yes,1,no,98000
7700,3,2,1,yes,9036,no,no,no,2,no,98500
8880,3,2,2,yes,5107,yes,no,yes,1,no,99000
8880,2,1,1,yes,2273,no,no,yes,1,no,101000
6480,3,2,4,yes,3369,no,no,yes,2,no,110000
7000,3,2,4,yes,6414,no,no,yes,2,no,115442
8875,3,1,1,yes,4975,no,no,no,1,no,120000
7155,3,2,1,yes,8270,yes,no,yes,2,no,124000
8960,4,4,4,yes,3380,no,no,yes,3,no,175000
7350,2,1,1,yes,6173,no,no,no,1,no,50000
3850,2,1,1,yes,8112,no,no,no,0,no,55000
7000,3,1,1,yes,3892,no,no,no,3,no,60000
7770,2,1,1,yes,8192,no,no,no,1,no,61000
7440,3,2,1,yes,4846,yes,no,yes,0,yes,106000
7500,3,3,1,yes,8608,yes,no,yes,2,yes,155000
8100,4,1,2,yes,7361,yes,no,yes,2,yes,141000
3900,3,1,2,yes,7329,no,no,no,0,no,62500
2970,3,1,3,yes,8576,no,no,no,0,no,70000
3000,3,1,2,yes,6009,yes,no,no,0,no,73000
10500,2,1,1,yes,4484,no,no,no,1,no,80000
5500,3,2,2,yes,1062,no,no,no,1,no,80000
4500,3,1,4,yes,1553,no,no,yes,0,no,88000
3850,3,1,1,yes,6559,no,no,no,0,no,49000
4130,3,2,2,yes,2816,no,no,no,2,no,52000
4046,3,1,2,yes,2106,yes,no,no,1,no,59500
4079,3,1,3,yes,4687,no,no,no,0,no,60000
4000,3,1,2,yes,9640,no,no,no,2,no,64000
9860,3,1,1,yes,8227,no,no,no,0,no,64500
7000,3,1,2,yes,6959,yes,no,no,0,no,68500
7980,3,1,1,yes,9548,no,no,no,2,no,78500
6800,2,1,1,yes,4367,yes,no,no,2,no,86000
4300,6,2,2,yes,3106,no,no,no,0,no,86900
10269,3,1,1,yes,1614,no,no,no,1,yes,75000
6100,3,1,3,yes,7500,no,no,yes,0,yes,78000
6420,3,2,3,yes,2388,no,no,yes,0,yes,95000
12090,4,2,2,yes,7863,no,no,no,2,yes,97000
6600,3,1,4,yes,5366,no,no,yes,3,yes,107000
6600,4,2,2,yes,8680,yes,no,yes,1,yes,130000
8580,4,3,4,yes,2486,no,no,yes,2,yes,145000
9960,3,2,2,yes,8195,yes,no,no,2,yes,175000
10700,3,1,2,yes,7577,yes,no,no,0,no,72000
15600,3,1,1,yes,5559,no,no,yes,2,no,84900
13200,2,1,1,yes,8851,yes,yes,no,1,no,99000
9000,4,2,4,yes,3411,no,no,yes,2,no,114000
7950,5,2,2,yes,8028,yes,yes,no,2,no,120000
16200,5,3,2,yes,4152,no,no,no,0,no,145000
6100,3,2,1,yes,8007,yes,no,no,2,yes,79000
6360,3,1,1,yes,9979,yes,no,yes,2,yes,82000
6420,3,1,1,yes,1361,yes,no,yes,0,yes,85000
6360,4,2,3,yes,8966,no,no,yes,2,yes,100500
6540,4,2,2,yes,4708,yes,no,yes,2,yes,122000
6420,3,2,2,yes,1021,no,no,yes,1,yes,126500
6550,4,2,2,yes,3715,no,no,yes,1,yes,133000
5750,3,2,4,yes,6492,no,no,yes,1,yes,140000
7420,4,2,3,yes,5682,no,no,yes,2,yes,190000
7160,3,1,1,yes,1256,yes,no,no,2,yes,84000
4000,3,2,2,yes,4607,yes,no,yes,0,yes,97000
9000,4,2,4,yes,8624,no,no,yes,1,yes,103500
6550,3,1,2,yes,6283,yes,no,yes,0,yes,112500
13200,3,1,2,yes,4387,yes,no,yes,2,yes,140000
7085,3,1,1,yes,3741,yes,no,no,2,yes,74700
6600,4,2,2,yes,6934,yes,no,no,0,yes,78000
6900,3,1,1,yes,8203,yes,no,no,0,yes,78900
11460,3,1,3,yes,2687,no,no,no,2,yes,83900
7020,3,1,1,yes,2378,yes,no,yes,2,yes,85000
6540,3,1,1,yes,1886,yes,no,no,2,yes,85000
8000,3,1,1,yes,6438,yes,no,yes,2,yes,86000
9620,3,1,1,yes,8371,yes,no,no,2,yes,86900
10500,3,2,1,yes,4306,yes,no,yes,1,yes,94500
5020,3,1,4,yes,9907,no,no,yes,0,yes,96000
7440,3,2,4,yes,9502,no,no,no,1,yes,106000
6600,3,1,1,yes,2892,yes,no,no,0,yes,72000
7200,3,1,2,yes,2792,yes,no,no,1,yes,74500
6710,3,2,2,yes,1158,yes,no,no,1,yes,77000
6660,4,2,2,yes,5442,yes,no,no,1,yes,80750
7000,3,1,1,yes,7158,yes,no,no,2,yes,82900
7231,3,1,2,yes,5759,yes,no,yes,0,yes,85000
7410,3,1,1,yes,8584,yes,no,yes,2,yes,92500
7800,3,1,1,yes,3521,yes,no,yes,2,yes,76000
6825,3,1,1,yes,1908,yes,no,yes,0,yes,77500
6360,3,1,3,yes,2796,no,no,no,0,yes,80000
6600,4,2,1,yes,3303,yes,no,no,0,yes,80000
6900,3,2,1,yes,5559,yes,no,no,0,yes,86000
6600,3,1,1,yes,8475,yes,no,no,2,yes,87000
6420,3,1,3,yes,7831,yes,no,no,0,yes,87500
6600,3,2,1,yes,3236,yes,no,yes,0,yes,89000
6600,3,2,3,yes,9344,no,no,yes,0,yes,89900
9000,3,1,1,yes,5141,yes,no,no,1,yes,90000
6500,3,2,3,yes,9595,no,no,yes,0,yes,95000
6360,3,2,4,yes,9524,no,no,yes,0,yes,112000
5300,3,1,1,no,5104,no,no,yes,0,yes,31900
2850,3,2,2,no,8613,yes,no,no,0,yes,52000
6400,3,1,1,yes,1433,yes,no,yes,1,yes,90000
11175,3,1,1,yes,6373,yes,no,yes,1,yes,1.00E+05
6750,2,1,1,yes,8664,yes,no,no,2,yes,91700
7500,4,2,2,yes,7005,yes,no,yes,3,yes,174500
6000,3,1,2,yes,9192,no,yes,no,1,yes,94700
10240,2,1,1,yes,9177,no,no,yes,2,yes,68000
5136,3,1,2,yes,2299,yes,no,yes,0,yes,80000
3400,3,1,2,yes,9981,yes,no,no,2,yes,61100
2880,3,1,2,yes,3348,no,no,no,0,yes,62900
3840,3,1,2,yes,7550,no,no,no,1,yes,65500
2870,2,1,2,yes,2224,yes,no,no,0,yes,66000
5320,2,1,1,yes,9203,no,no,no,1,yes,49500
3512,2,1,1,yes,2252,no,no,no,1,yes,50000
3480,2,1,1,yes,7935,no,no,no,0,yes,53500
3600,3,1,1,yes,2560,yes,no,yes,0,yes,58550
3520,2,1,2,yes,9882,no,no,no,0,yes,64500
5320,3,1,2,yes,2779,yes,no,no,0,yes,65000
6040,3,1,1,yes,8820,no,no,no,2,yes,69000
11410,2,1,2,yes,2959,no,no,no,0,yes,73000
8400,3,1,2,yes,9612,yes,no,yes,2,yes,75000
5300,4,2,1,yes,3610,no,no,yes,0,yes,75000
7800,3,2,2,yes,9039,no,no,no,0,yes,132000
3520,3,1,2,yes,3644,no,no,no,0,yes,60000
5360,3,1,2,yes,7788,no,no,no,2,yes,65000
6862,3,1,2,yes,9813,no,no,yes,2,yes,69000
3520,3,1,1,yes,8652,no,no,no,2,yes,51900
4050,2,1,2,yes,2271,yes,no,no,0,yes,57000
3520,3,1,1,yes,3766,no,no,no,0,yes,65000
4400,4,1,2,yes,3093,no,no,yes,2,yes,79500
5720,2,1,2,yes,2870,no,no,yes,0,yes,72500
11440,4,1,2,yes,2206,yes,no,no,1,yes,104900
7482,3,2,3,yes,3993,no,yes,no,1,yes,114900
5500,4,2,2,yes,7729,yes,no,yes,1,yes,120000
4320,3,1,2,yes,4088,no,no,no,2,yes,58000
5400,2,1,2,yes,5477,no,no,no,0,yes,67000
4320,3,1,1,yes,1467,no,no,no,0,yes,67000
4815,2,1,1,yes,4485,no,no,yes,0,yes,69000
6100,3,1,1,yes,3173,yes,no,yes,0,yes,73000
7980,3,1,1,yes,3265,no,no,no,1,yes,73500
6050,3,1,1,yes,1838,yes,no,no,0,yes,74900
3800,3,1,2,yes,2021,yes,no,no,1,yes,75000
5400,5,1,2,yes,7269,yes,no,yes,0,yes,79500
6000,3,2,4,yes,7186,yes,no,yes,0,yes,120900
2398,3,1,1,yes,5249,no,no,no,0,yes,44555
2145,3,1,2,yes,9602,yes,no,no,0,yes,47000
2145,3,1,2,yes,2719,yes,no,no,0,yes,47600
2145,3,1,3,yes,6940,no,no,no,0,yes,49000
2610,3,1,2,yes,7785,yes,no,no,0,yes,49000
1950,3,2,2,yes,8627,yes,no,no,0,yes,49000
2145,3,1,3,yes,3027,no,no,no,0,yes,49500
2275,3,1,3,yes,4050,no,yes,yes,0,yes,52000
2856,3,1,3,yes,5824,no,no,no,0,yes,54000
2015,3,1,2,yes,1798,yes,no,no,0,yes,55000
2176,2,1,2,yes,7405,no,no,no,0,yes,55000
2145,4,2,1,yes,3114,yes,no,no,0,yes,56000
2145,3,1,3,yes,9116,no,no,no,1,yes,60000
2787,3,1,1,yes,9066,yes,no,no,0,yes,60500
9500,3,1,2,yes,7401,no,no,no,3,yes,50000
4990,4,2,2,yes,1957,yes,no,no,0,yes,64900
6670,3,1,3,yes,4845,yes,no,no,0,yes,93000
6254,4,2,1,yes,5963,yes,no,no,1,yes,85000
10360,2,1,1,yes,8139,no,no,no,1,yes,61500
5500,3,2,1,yes,2276,yes,no,no,2,yes,88500
5450,4,2,1,yes,8777,yes,no,yes,0,yes,88000
5500,3,1,3,yes,3942,no,no,no,1,yes,89000
6000,4,1,3,yes,7440,yes,no,no,0,yes,89500
5700,3,1,1,yes,1858,yes,no,yes,2,yes,95000
